CLI;CDG_UTC;CDG_Nivel4;DESC_Nivel4;CDG_Nivel5;DESC_Nivel5;CDG_Nivel6;DESC_Nivel6;LINE_DESC
BAL;0037015;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037016;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0037017;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0038001;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0038002;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0038003;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039001;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039002;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039003;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039004;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039005;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039006;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039007;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039008;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039009;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039010;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039011;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039012;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039013;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0039014;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0040001;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0040002;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0040003;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041001;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041002;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041003;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041004;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041005;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041006;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041007;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041008;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041009;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041010;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041011;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041012;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041013;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041014;3010000;3010000;3011100;3011100;3011103;3011103;BAL
BAL;0041015;3010000;3010000;3011100;3011100;3011103;3011103;BAL
